x,y,topics,Freq,Cluster
0.08842306,-0.02861019,4,0.5441249,1
0.03850791,0.09674528,7,0.7674177,1
-0.1437082,0.1138373,10,0.7419436,1
-0.07829803,0.03661963,12,0.3725658,1
0.0730493,0.02455044,22,0.1350558,1
-0.03555305,0.08888534,23,0.1679728,1
-0.1811253,0.07717708,24,0.3279595,1
0.1483284,0.09778623,26,0.2192905,1
0.06290484,0.1259783,33,0.277124,1
0.01610052,0.0939486,39,0.6687771,1
-0.02393933,0.09369694,41,0.1658618,1
0.02272494,-0.1204672,42,0.2783798,1
-0.09849394,-0.00123662,49,0.2219315,1
0.05929958,0.02805736,55,0.1982205,1
-0.005721675,0.009521893,56,0.3069634,1
-0.01588889,0.03526557,57,0.5171589,1
-0.008800981,-0.03430133,63,0.4491744,1
-0.04456273,0.08116856,68,0.5853563,1
-0.136464,0.01987937,70,0.5771776,1
0.01979385,0.02692036,73,0.3383467,1
-0.0186888,0.02830728,75,0.6373507,1
-0.1642519,0.06281772,81,0.7410222,1
0.1518603,-0.01330959,86,0.262225,1
-0.06742825,0.04563469,89,0.1884284,1
0.1225005,0.05653044,99,0.286222,1
-0.03049504,-0.1115859,102,0.09678215,1
-0.02840443,0.008997749,103,0.1793766,1
-0.1213956,0.09338578,111,0.1456757,1
0.03599596,-0.1127816,115,0.4033107,1
-0.07731121,0.06079044,119,0.1701195,1
0.1017676,0.07493507,124,0.6914261,1
-0.06005301,0.12733,134,0.1573515,1
0.04139022,-0.02574582,135,0.6195067,1
-0.1314702,0.09428327,136,0.775342,1
-0.1421142,0.00165474,137,0.7941607,1
-0.06281329,0.009296,138,0.4813258,1
0.0912604,0.05600287,141,0.1708911,1
0.1266488,0.02901735,143,0.1787363,1
0.0554197,-0.0280676,145,0.2873972,1
-0.06073644,-0.1092308,148,0.4582793,1
-0.1088422,0.02469723,149,0.1473332,1
0.07140863,-0.01748289,152,0.2588392,1
-0.1607065,0.05606624,154,0.1657428,1
0.104768,-0.09641619,157,0.215476,1
0.01654831,-0.1278949,167,1.134894,1
0.1345666,0.004121993,168,0.8153934,1
0.02250179,0.02103655,170,0.4150602,1
-0.0773416,0.064239,175,0.253629,1
0.1177896,0.04470573,176,0.4880207,1
-0.06215328,0.007630448,177,0.6698616,1
0.02198368,-0.1256032,189,0.1580002,1
-0.08213236,-0.118511,191,0.33171,1
0.1474731,0.05062267,196,0.194552,1
-0.08699368,0.1000663,200,1.274606,1
0.04659257,-0.0416741,202,0.1936368,1
0.1235289,-0.04063508,206,0.3402046,1
0.01737722,0.03581867,210,0.1790673,1
0.1254431,0.07057085,212,0.1933551,1
0.06058734,-0.05428289,216,0.4655858,1
-0.07368881,0.05302202,220,0.5220634,1
0.09396783,-0.08258829,222,0.8845007,1
-0.07591235,0.03835498,225,0.3221332,1
0.03193109,0.08015343,227,0.184622,1
0.2221036,0.09233718,228,1.734956,1
-0.1228529,0.009980397,234,0.4438292,1
0.2403359,0.1100057,237,0.7854717,1
0.1492004,0.09926925,242,0.4325142,1
-0.04015775,-0.02091839,244,0.2064671,1
-0.08969241,0.004129897,245,0.2931182,1
-0.1190157,0.03125316,247,0.2529386,1
-0.1710732,0.04186939,254,0.18293,1
-0.08986623,0.154302,259,2.716164,1
-0.09071065,0.1031502,270,0.3074344,1
-0.08050607,0.02617207,275,0.3491462,1
-0.186509,0.1015685,285,0.354137,1
0.007802308,-0.1048585,289,0.3199859,1
-0.1380599,0.1256658,293,0.2231499,1
0.1162749,-0.04638448,295,0.1720208,1
0.01492691,0.03285569,303,0.2485835,1
-0.09860069,0.06986856,308,0.280099,1
0.001538744,0.08865032,315,0.1944527,1
0.04195555,0.08466619,323,0.42549,1
0.06053153,0.08765884,327,0.1896573,1
0.08136619,-0.06396366,330,0.2772359,1
-0.02558693,0.04880318,332,0.5498572,1